,Y,X,Beta,p-value
34217,6988 JT,3863 JT,0.009695321021911391,0.7785856678336687
34218,6988 JT,3864 JT,0.020556120150673443,0.7933638291058562
34219,6988 JT,3865 JT,-0.004270055876196859,0.8916559235964501
34220,6988 JT,3893 JT,0.04955545617524034,0.7057924426610891
34221,6988 JT,4004 JT,0.02158125063597178,0.5184946276613425
34222,6988 JT,4005 JT,0.008003811111526756,0.7897902544502137
34223,6988 JT,4021 JT,0.0008476274047592984,0.9800171689341552
34224,6988 JT,4041 JT,0.029167155965104646,0.3355442066353488
34225,6988 JT,4042 JT,0.012998563498120456,0.6271951198000433
34226,6988 JT,4043 JT,-0.009314436331546229,0.6563301690755035
34227,6988 JT,4061 JT,6.796999074026419e-05,0.9983750468143222
34228,6988 JT,4063 JT,0.015326052999893579,0.6779305828290441
34229,6988 JT,4151 JT,-0.006281339073727657,0.8487468711846203
34230,6988 JT,4183 JT,0.014513580200685557,0.6194665707445266
34231,6988 JT,4188 JT,-0.016218643986335622,0.6151398131973026
34232,6988 JT,4208 JT,-0.018250721096570444,0.5877091660255421
34233,6988 JT,4272 JT,0.008555014356783856,0.7987211436940549
34234,6988 JT,4324 JT,-0.007750682974717734,0.7943236657176459
34235,6988 JT,4452 JT,-0.0031355723652071706,0.9384894487156434
34236,6988 JT,4502 JT,0.027084856746492747,0.5651467172900604
34237,6988 JT,4503 JT,0.008772244769120356,0.8224890999879797
34238,6988 JT,4506 JT,0.00311185518812396,0.9175262108807686
34239,6988 JT,4507 JT,-0.005048772228574895,0.8749168988213204
34240,6988 JT,4519 JT,-0.001279472461793273,0.9687780646223667
34241,6988 JT,4523 JT,0.009444046477268498,0.786851609748364
34242,6988 JT,4543 JT,0.026957342108702917,0.4361793925905636
34243,6988 JT,4568 JT,-0.0029723291862314,0.9395376251502887
34244,6988 JT,4578 JT,-0.022673627021241913,0.8737163412125808
34245,6988 JT,4689 JT,-0.07878023513147706,0.012049328632365608
34246,6988 JT,4704 JT,-0.03503832883857438,0.28831250259539243
34247,6988 JT,4755 JT,-0.019009909469033838,0.8088353079858814
34248,6988 JT,4901 JT,0.023623105765584036,0.5186418421484484
34249,6988 JT,4902 JT,0.0009207611060384605,0.9764367068291652
34250,6988 JT,4911 JT,0.019473416095341454,0.5643866663930035
34251,6988 JT,5002 JT,0.038193105500760834,0.23110637471879594
